"species","status","auc"
"","SUCCESS",0.576447574334898
"Abies alba","SUCCESS",0.634395329169919
"Acer campestre","SUCCESS",0.612352825745683
"Acer platanoides","SUCCESS",0.639880952380952
"Acer pseudoplatanus","SUCCESS",0.607033475783476
"Achillea millefolium","SUCCESS",0.622648046398046
"Aegithalos caudatus","SUCCESS",0.657084409991387
"Aegopinella nitens","SUCCESS",0.61986531986532
"Aegopodium podagraria","SUCCESS",0.579344293272865
"Aeshna affinis","SUCCESS",0.659412578162578
"Aeshna cyanea","SUCCESS",0.578774154589372
"Aeshna grandis","SUCCESS",0.609623015873016
"Aeshna mixta","SUCCESS",0.633807798481712
"Aglais io","SUCCESS",0.593585758377425
"Aglais urticae","SUCCESS",0.629305142195767
"Agrostis capillaris","SUCCESS",0.567737511671335
"Agrostis stolonifera","SUCCESS",0.569170249118166
"Agrotis exclamationis","SUCCESS",0.587695932539683
"Ailanthus altissima","SUCCESS",0.83060535173862
"Ajuga reptans","SUCCESS",0.621526624215578
"Alcedo atthis","SUCCESS",0.815120214752568
"Alliaria petiolata","SUCCESS",0.621599255644287
"Allium ursinum","SUCCESS",0.607041170634921
"Alnus incana","SUCCESS",0.580505952380952
"Alopecurus pratensis","SUCCESS",0.567166666666667
"Anacamptis morio","SUCCESS",0.596271338724169
"Anas platyrhynchos","SUCCESS",0.76245453042328
"Anax imperator","SUCCESS",0.563310418063939
"Anax parthenope","SUCCESS",0.609647817460317
"Anemone nemorosa","SUCCESS",0.563617664191059
"Angelica sylvestris","SUCCESS",0.5969900139543
"Anguis fragilis","SUCCESS",0.594848528842431
"Anthocharis cardamines","SUCCESS",0.569333264915161
"Anthoxanthum odoratum","SUCCESS",0.571825396825397
"Anthriscus sylvestris","SUCCESS",0.65479083994709
"Anthyllis vulneraria","SUCCESS",0.66560576611597
"Aphantopus hyperantus","SUCCESS",0.581595126313436
"Apus apus","SUCCESS",0.744409486016629
"Araschnia levana","SUCCESS",0.584935125735688
"Ardea alba","SUCCESS",0.793257735583685
"Ardea cinerea","SUCCESS",0.759613608374384
"Argynnis paphia","SUCCESS",0.591808390022676
"Aria edulis","SUCCESS",0.659419988925803
"Aricia agestis","SUCCESS",0.743820861678005
"Arrhenatherum elatius","SUCCESS",0.602532596371882
"Arum maculatum","SUCCESS",0.605149607735815
"Asplenium ruta-muraria","SUCCESS",0.631825396825397
"Asplenium trichomanes","SUCCESS",0.663360507246377
"Athyrium filix-femina","SUCCESS",0.556652046783626
"Autographa gamma","SUCCESS",0.617785622000738
"Avenula pubescens","SUCCESS",0.642098694316436
"Axylia putris","SUCCESS",0.603888404955478
"Aythya ferina","SUCCESS",0.842030786673644
"Aythya fuligula","SUCCESS",0.822363483436853
"Baetis rhodani","SUCCESS",0.602727333871402
"Bellis perennis","SUCCESS",0.517366332497911
"Berberis vulgaris","SUCCESS",0.720025839793282
"Betula pendula","SUCCESS",0.59677172781681
"Bistorta officinalis","SUCCESS",0.779120163690476
"Bombina variegata","SUCCESS",0.609807692307692
"Bombus hortorum","SUCCESS",0.626495582509733
"Bombus humilis","SUCCESS",0.657968940781441
"Bombus lapidarius","SUCCESS",0.674698159405606
"Bombus pascuorum","SUCCESS",0.622773742265268
"Bombus pratorum","SUCCESS",0.637440134099617
"Brachypodium sylvaticum","SUCCESS",0.542033179012346
"Brachytron pratense","SUCCESS",0.66020880574452
"Brenthis ino","SUCCESS",0.734271978021978
"Briza media","SUCCESS",0.629247376916868
"Bromus erectus","SUCCESS",0.653796414399093
"Bromus hordeaceus","SUCCESS",0.5859449981543
"Buddleja davidii","SUCCESS",0.670041104852933
"Bufo bufo","SUCCESS",0.592926036155203
"Buteo buteo","SUCCESS",0.655451304815712
"Cabera pusaria","SUCCESS",0.622541291291291
"Calliptamus italicus","SUCCESS",0.818175186741363
